"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A convolution neural networks scheme for classification of motor imagery EEG based on wavelet time-frequecy image","H. K. Lee; Y. -S. Choi","Department of Electronics and Communications Engineering, Kwangwoon University, Seoul, Korea; Department of Electronics and Communications Engineering, Kwangwoon University, Seoul, Korea",2018 International Conference on Information Networking (ICOIN),"23 Apr 2018","2018","","","906","909","Motor imagery classification using electroencephalogram (EEG) is increasingly becoming popular in brain-computer interface (BCI) field. In this paper, we present a novel convolution neural networks (CNN) approach for classifying motor imagery electroencephalogram (EEG). For this, we obtained time-frequency representations of EEGs in cases of left and right motor imageries using continuous wavelet transform (CWT). Through experiments using well known public benchmark dataset, it shows that the proposed method provides the improved accuracy compared to the traditional machine learning based classification methods. It confirms the usefulness of the CNN scheme for BCI research field.","","978-1-5386-2290-2","10.1109/ICOIN.2018.8343254","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8343254","Electroencephalogram (EEG);Brain-computer interface (BCI);motor imagery;continuous wtavelet transform;convolution neural networks (CNN)","Electroencephalography;Task analysis;Continuous wavelet transforms;Electrodes;Time-frequency analysis","","63","","7","IEEE","23 Apr 2018","10-12 Jan. 2018","10-12 Jan. 2018","IEEE","IEEE Conferences"
"A Performance Study of 14-Channel and 5-Channel EEG Systems for Real-Time Control of Unmanned Aerial Vehicles (UAVs)","A. Vijayendra; S. K. Saksena; R. M. Vishwanath; S. N. Omkar","Indian Institute of Science, Bangalore; Indian Institute of Science, Bangalore, Karnataka, IN; Indian Institute of Science, Bangalore; Indian Institute of Science, Bangalore",2018 Second IEEE International Conference on Robotic Computing (IRC),"5 Apr 2018","2018","","","183","188","Brain-computer interface (BCI), an actively re-searched multi-disciplinary domain, has completely trans-formed the approach to robotic control problems. Researchers have focused on developing algorithms that optimize robotic movement to achieve desired trajectories, and it's a general understanding that route optimization problems are difficult to solve mathematically. Humans, on the other hand, tend to optimize their day-to-day activities intuitively. In order to achieve the desired results, the brain exploits a multi-level filtering approach, where the macro features are weighted in the first layer and the microfeatures in further layers. This optimization inside the brain interestingly, leave distinct traces in electroencephalography (EEG) plots. Based on the observations, we propose to use artificial neural networks to classify the EEG data, which intuitively should give a high classification rate, because the human brain also exploits a network of neurons to classify auditory (time-series) and visual (spatial) data. In this paper, we discuss the performances of 14- channel and 5-channel EEG headsets for robotic applications. Data is acquired from 20 subjects corresponding to four different tasks. Using neural nets, we have been successfully able to classify the EEG input into four different classes. We get an overall classification accuracy of 98.8% for 14-channel and 84.5% 5-channel system. As a real-time demonstration of the interface, the predicted class number is sent to a multi-rotor via a wireless link as an appropriate velocity command.","","978-1-5386-4652-6","10.1109/IRC.2018.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8329904","Brain computer interface;neural networks;UAV;EEG","Electroencephalography;Task analysis;Headphones;Discrete wavelet transforms;Real-time systems;Robots;Training","","12","","19","IEEE","5 Apr 2018","31 Jan.-2 Feb. 2018","31 Jan.-2 Feb. 2018","IEEE","IEEE Conferences"
"Study of wavelet-based performance enhancement for motor imagery brain-computer interface","M. Alansari; M. Kamel; B. Hakim; Y. Kadah","Electrical and Computer Engineering Department, King Abdulaziz University, Jeddah, Saudi Arabia; Electrical and Computer Engineering Department, King Abdulaziz University, Jeddah, Saudi Arabia; Electrical and Computer Engineering Department, King Abdulaziz University, Jeddah, Saudi Arabia; Electrical and Computer Engineering Department, King Abdulaziz University, Jeddah, Saudi Arabia",2018 6th International Conference on Brain-Computer Interface (BCI),"12 Mar 2018","2018","","","1","4","To enhance the reliability of motor imagery based brain-computer interface, we present a study that considers subject-based optimization of feature extraction and classification. In particular, wavelet-based feature extraction performed on different bands was optimized over available selections of wavelet family, length and number of decomposition levels. Likewise, the classification step considers three general families of classifiers whose parameters are optimized in a similar manner. Such optimization was performed for each subject whereby processing parameters are selected based on the best performance obtained in the training session. We report the results obtained from applying this approach to the BCI competition 2008 dataset 2b (Graz) and demonstrate that such optimization provides results that outperform previous methods.","2572-7672","978-1-5386-2574-3","10.1109/IWW-BCI.2018.8311520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8311520","Brain-computer Interface;EEG;Wavelet Transform","Feature extraction;Electroencephalography;Training;Optimization;Rhythm;Brain-computer interfaces;Classification algorithms","","4","","11","IEEE","12 Mar 2018","15-17 Jan. 2018","15-17 Jan. 2018","IEEE","IEEE Conferences"
"Open access repository for hybrid EEG-NIRS data","J. Shin; A. von Lühmann; B. Blankertz; D. -W. Kim; J. Mehnert; J. Jeong; H. -J. Hwang; K. -R. Müller","Department of Biomedical Engineering, Hanyanz University., Seoul, Korea; Machine Learning Group, Berlin Institute of Technology, Berlin, Germany; Machine Learning Group, Berlin Institute of Technology, Berlin, Germany; Department of Biomedical Engineering, Chonnam National University, Yeosu, Korea; Institute of Systems Neuroscience, Medical Center Hamburg-Eppendorf, Hamburg, Germany; Department of Brain and Cognitive Engineering, Korea University, Seoul, Korea; Department of Medical IT Convergence Engineering, Kumoh National Institute of Technology, Kumi, Korea; Machine Learning Group, Berlin Institute of Technology, Berlin, Germany",2018 6th International Conference on Brain-Computer Interface (BCI),"12 Mar 2018","2018","","","1","4","Recently, in order to overcome the disadvantages of unimodal brain-imaging modalities such as low signal-to-noise ratio and vulnerability to motion artifact and to improve system performance, a multimodal imaging system (so-called hybrid system) has been emerging as an attractive alternative. In the present study, to meet the increasing demand on a hybrid brain-imaging data, we introduce open access datasets of electroencephalography (EEG) and near-infrared spectroscopy (NIRS) simultaneously measured during various cognitive tasks. The datasets contain BCI data such as motor imagery (MI)-, and mental arithmetic (MA), and word generation (WG)-related brain signals, and cognitive task data such as n-back (NB)-, and discrimination/selection response (DSR)-related brain signals. We provide the reference results of these datasets, which were validated using analysis pipelines widely used in related research fields. In particular, it was confirmed from classification analysis that a hybrid EEG-NIRS system can yield better classification accuracy than each of unimodal brain-imaging systems.","2572-7672","978-1-5386-2574-3","10.1109/IWW-BCI.2018.8311523","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8311523","Brain-computer interface;EEG;Hybrid BCI;NIRS;Open access dataset","Electroencephalography;Task analysis;Band-pass filters;Open Access;Low pass filters;Solids","","3","","15","IEEE","12 Mar 2018","15-17 Jan. 2018","15-17 Jan. 2018","IEEE","IEEE Conferences"
"Classification of motor imagery for Ear-EEG based brain-computer interface","Y. -J. Kim; N. -S. Kwak; S. -W. Lee","Department of Brain and Cognitive Engineering, Korea University, Seoul, Korea; Department of Brain and Cognitive Engineering, Korea University, Seoul, Korea; Department of Brain and Cognitive Engineering, Korea University, Seoul, Korea",2018 6th International Conference on Brain-Computer Interface (BCI),"12 Mar 2018","2018","","","1","2","Brain-computer interface (BCI) researchers have shown an increased interest in the development of ear-electroencephalography (EEG), which is a method for measuring EEG signals in the ear or around the outer ear, to provide a more convenient BCI system to users. However, the ear-EEG studies have researched mostly targeting on a visual/auditory stimuli-based BCI system or a drowsiness detection system. To the best of our knowledge, there is no study on a motor-imagery (MI) detection system based on ear-EEG. MI is one of the mostly used paradigms in BCI because it does not need any external stimuli. MI that associated with ear-EEG could facilitate useful BCI applications in real-world. Hence, in this study, we aim to investigate a feasibility of the MI classification using ear-around EEG signals. We proposed a common spatial pattern (CSP)-based frequency-band optimization algorithm and compared it with three existing methods. The best classification results for two datasets are 71.8% and 68.07%, respectively, using the ear-around EEG signals (cf. 92.40% and 91.64% using motor-area EEG signals).","2572-7672","978-1-5386-2574-3","10.1109/IWW-BCI.2018.8311517","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8311517","brain-computer interface;ear-EEG;motor imagery","Electroencephalography;Ear;Electrodes;Filter banks;Brain-computer interfaces;Task analysis","","21","","7","IEEE","12 Mar 2018","15-17 Jan. 2018","15-17 Jan. 2018","IEEE","IEEE Conferences"
"Smart thoughts: BCI based system implementation to detect motor imagery movements","I. Mustafa; I. Mustafa","CESAT, Islamabad; CESAT, Islamabad",2018 15th International Bhurban Conference on Applied Sciences and Technology (IBCAST),"12 Mar 2018","2018","","","365","371","Brain-Computer Interface (BCI) is an approach for connecting human brain and a computer or any other type of electronic devices such as the robot and automated wheelchair, etc. The main purpose of BCI is not to trust only on peripheral nerves and muscles for communication because sometimes they are not in the condition to perform tasks or giving signals to devices, so that's why BCI is directly connected to the brain for activity recording. The BCI based system needs to record brain signals to perform operations, these signals can be recorded with Electroencephalogram (EEG) technology. EEG signals are recorded neural activity of the brain, which occurs when a user is performing some type of task like focusing on something or trying to give motor imagery signals to muscles. The purpose of this research is to enable the user to send motor imagery movements commands to the computer and make sure that the computer will perform these motor imagery movements correctly and consume less time for real-time processing. For ensuring all these things an algorithm (not only algorithm a way for BCI systems to record, filter and process signals smartly) is designed. In the proposed approach, major electrodes dealing with motor imagery movement are selected and others are eliminated, which make proposed system more effective light and fast after eliminating extra electrode signals are passed by the band-pass filter for eliminating contaminated signals. Results show that proposed system is increasing the accuracy of motor imagery movement detection. Eliminating the extra data efficiently, which is making the system more light and fast. By making the number of electrodes less proposed system is optimizing the signals which enabling real-time processing much better, fast and accurate. The main purpose of the proposed approach is to make BCI based motor imagery movement detection, better, fast, efficient and performing real-time operations. Proposed work has many avenues for the future.","2151-1411","978-1-5386-3564-3","10.1109/IBCAST.2018.8312250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8312250","Brain-Computer Interfaces (BCI);Electroencephalography (EEG);Motor Imagery movement;Emotive Epoc+;SVM in BCI system","Electroencephalography;Electrodes;Feature extraction;Support vector machines;Task analysis;Band-pass filters;Brain-computer interfaces","","3","","13","IEEE","12 Mar 2018","9-13 Jan. 2018","9-13 Jan. 2018","IEEE","IEEE Conferences"
"Learning Temporal Information for Brain-Computer Interface Using Convolutional Neural Networks","S. Sakhavi; C. Guan; S. Yan","National University of Singapore, Singapore, SG; Agency for Science Technology and Research, Singapore, SG; National University of Singapore, Singapore, SG",IEEE Transactions on Neural Networks and Learning Systems,"17 Oct 2018","2018","29","11","5619","5629","Deep learning (DL) methods and architectures have been the state-of-the-art classification algorithms for computer vision and natural language processing problems. However, the successful application of these methods in motor imagery (MI) brain-computer interfaces (BCIs), in order to boost classification performance, is still limited. In this paper, we propose a classification framework for MI data by introducing a new temporal representation of the data and also utilizing a convolutional neural network (CNN) architecture for classification. The new representation is generated from modifying the filter-bank common spatial patterns method, and the CNN is designed and optimized accordingly for the representation. Our framework outperforms the best classification method in the literature on the BCI competition IV-2a 4-class MI data set by 7% increase in average subject accuracy. Furthermore, by studying the convolutional weights of the trained networks, we gain an insight into the temporal characteristics of EEG.","2162-2388","","10.1109/TNNLS.2018.2789927","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8310961","Brain–computer interface (BCI);convolutional neural network (CNN);deep learning (DL);machine learning;motor imagery (MI);signal processing","Electroencephalography;Feature extraction;Convolution;Heuristic algorithms;Computer architecture;Task analysis;Biological neural networks","Algorithms;Brain;Brain-Computer Interfaces;Electroencephalography;Humans;Imagination;Learning;Neural Networks, Computer;Pattern Recognition, Automated;Signal Processing, Computer-Assisted","582","","47","IEEE","9 Mar 2018","Nov. 2018","","IEEE","IEEE Journals"
"EEG Signals Classification: Motor Imagery for Driving an Intelligent Wheelchair","O. R. Pinheiro; L. R. G. Alves; J. R. D. Souza","SENAI CIMATEC, Salvador, Brazil; SENAI CIMATEC, Salvador, Brazil; Universidade do Estado da Bahia, Salvador, BA, BR",IEEE Latin America Transactions,"14 Feb 2018","2018","16","1","254","259","The activities pertaining to body control performed by human beings utilize neuromuscular tracts. Tasks' performance such as moving the arms or walking demand the planning of the task to be performed. People diagnosed with clinical conditions such as Amyotrophic Lateral Sclerosis, Spine lesions or Cerebrovascular Accident, for instance, have their neuromuscular tracts damaged. One of the alternatives to bypass that problem is the development of technologies which can partially replace the loss functioning of people with severe motor impairment. The imagination of the movement is considered as a cognitive state which corresponds to the mental simulation of a given motor action. The general aim of this investigative research is to develop a brain-computer based interface for the movement imagination of the left fist, right fist, both fists and both feet in order to control an intelligent wheelchair. The electroencephalography signals were acquired through the database eegmmidb - EEG Motor Movement/Imagery Dataset. Electroencephalography signals samples of 106 individuals were utilized in order to validate the computational model. The proposed model obtained an efficiency of 74,96% in the correct classification of the events related to movement imagination. The developed techniques are promising. The model intends to contribute as a complementation of an improvement towards the mobility of people suffering from severe motor impairment.","1548-0992","","10.1109/TLA.2018.8291481","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291481","Brain-Computer Interface;Electroencephalography;Intelligent wheelchair","Electroencephalography;Brain modeling;RNA;Computational modeling;Support vector machines;Pattern classification;Wheelchairs","","47","","","IEEE","14 Feb 2018","Jan. 2018","","IEEE","IEEE Journals"
"Multiclass Classification of Word Imagination Speech With Hybrid Connectivity Features","M. N. I. Qureshi; B. Min; H. -j. Park; D. Cho; W. Choi; B. Lee","Department of Biomedical Science and Engineering, Institute of Integrated Technology, Gwangju Institute of Science and Technology; Department of Neuropsychiatry, Seoul National University Hospital; Department of Biomedical Science and Engineering, Institute of Integrated Technology, Gwangju Institute of Science and Technology; Department of Biomedical Science and Engineering, Institute of Integrated Technology, Gwangju Institute of Science and Technology; Korean Medicine Fundamental Research Division, Korea Institute of Oriental Medicine; Department of Biomedical Science and Engineering, Institute of Integrated Technology, Gwangju Institute of Science and Technology, Gwangju, South Korea",IEEE Transactions on Biomedical Engineering,"18 Sep 2018","2018","65","10","2168","2177","Objective: In this study, electroencephalography data of imagined words were classified using four different feature extraction approaches. Eight subjects were recruited for the recording of imagination with five different words, namely; “go,” “back,” “left,” “right,” and “stop.” Methods: One hundred trials for each word were recorded for both imagination and perception, although this study utilized only imagination data. Two different connectivity methods were applied, namely; a covariance-based and a maximum linear cross-correlation-based connectivity measure. These connectivity measures were further computed to extract the phase-only data as an additional method of feature extraction. In addition, four different channel selections were used. The final connectivity matrix from each of the four methods was vectorized and used as the feature vector for the classifier. To classify EEG data, a sigmoid activation function-based linear extreme learning machine was used. Result and Significance: We achieved a maximum classification rate of 40.30% (p <; 0.007) and 87.90% (p <; 0.003) in multiclass (five classes) and binary settings, respectively. Thus, our results suggested that EEG responses to imagined speech could be successfully classified using an extreme learning machine. Conclusion: This study involving the classification of imagined words can be a milestone contribution toward the development of practical brain-computer interface systems using silent speech.","1558-2531","","10.1109/TBME.2017.2786251","Basic Science Research Program; National Research Foundation of Korea; Ministry of Science and ICT(grant numbers:2017009068); GIST Research Institute; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8234615","Word imagination;EEG;multiclass classification;phase-only feature extraction;Broca's and Wernicke's area","Electroencephalography;Feature extraction;Speech;Time series analysis;Covariance matrices;Data mining;Image reconstruction","Adult;Algorithms;Broca Area;Electroencephalography;Female;Humans;Image Processing, Computer-Assisted;Imagination;Male;Signal Processing, Computer-Assisted;Speech;Wernicke Area;Young Adult","81","","32","IEEE","22 Dec 2017","Oct. 2018","","IEEE","IEEE Journals"
"Sinusoidal Signal Assisted Multivariate Empirical Mode Decomposition for Brain–Computer Interfaces","S. Ge; Y. -H. Shi; R. -M. Wang; P. Lin; J. -F. Gao; G. -P. Sun; K. Iramina; Y. -K. Yang; Y. Leng; H. -X. Wang; W. -M. Zheng","Department of Key Laboratory of Child Development and Learning Science of Ministry of Education, School of Biological Science and Medical Engineering, Southeast University, Nanjing, China; Department of Institute of Artificial Intelligence, Huanghe Science and Technology College, Zhengzhou, China; Department of Graduate School of Systems Life Sciences, Kyushu University, Fukuoka, Japan; Department of Key Laboratory of Cognitive Science of State Ethnic Affairs Commission, College of Biomedical Engineering, South-Central University for Nationalities, Wuhan, China; Department of Key Laboratory of Cognitive Science of State Ethnic Affairs Commission, College of Biomedical Engineering, South-Central University for Nationalities, Wuhan, China; Department of Key Laboratory of Child Development and Learning Science of Ministry of Education, School of Biological Science and Medical Engineering, Southeast University, Nanjing, China; Department of Graduate School of Systems Life Sciences, Kyushu University, Fukuoka, Japan; Department of Key Laboratory of Child Development and Learning Science of Ministry of Education, School of Biological Science and Medical Engineering, Southeast University, Nanjing, China; Department of Key Laboratory of Child Development and Learning Science of Ministry of Education, School of Biological Science and Medical Engineering, Southeast University, Nanjing, China; Department of Key Laboratory of Child Development and Learning Science of Ministry of Education, School of Biological Science and Medical Engineering, Southeast University, Nanjing, China; Department of Key Laboratory of Child Development and Learning Science of Ministry of Education, School of Biological Science and Medical Engineering, Southeast University, Nanjing, China",IEEE Journal of Biomedical and Health Informatics,"10 Aug 2018","2018","22","5","1373","1384","A brain-computer interface (BCI) is a communication approach that permits cerebral activity to control computers or external devices. Brain electrical activity recorded with electroencephalography (EEG) is most commonly used for BCI. Noise-assisted multivariate empirical mode decomposition (NA-MEMD) is a data-driven time-frequency analysis method that can be applied to nonlinear and nonstationary EEG signals for BCI data processing. However, because white Gaussian noise occupies a broad range of frequencies, some redundant components are introduced. To solve this leakage problem, in this study, we propose using a sinusoidal assisted signal that occupies the same frequency ranges as the original signals to improve MEMD performance. To verify the effectiveness of the proposed sinusoidal signal assisted MEMD (SA-MEMD) method, we compared the decomposition performances of MEMD, NA-MEMD, and the proposed SA-MEMD using synthetic signals and a real-world BCI dataset. The spectral decomposition results indicate that the proposed SA-MEMD can avoid the generation of redundant components and over decomposition, thus, substantially reduce the mode mixing and misalignment that occurs in MEMD and NA-MEMD. Moreover, using SA-MEMD as a signal preprocessing method instead of MEMD or NA-MEMD can significantly improve BCI classification accuracy and reduce calculation time, which indicates that SA-MEMD is a powerful spectral decomposition method for BCI.","2168-2208","","10.1109/JBHI.2017.2775657","National Basic Research Program of China (973 Program)(grant numbers:2015CB351704); National Natural Science Foundation of China(grant numbers:61473221,81271659,31500881,61375118); Natural Science Foundation of Jiangsu Province of China(grant numbers:BK20140621); Fundamental Research Funds for the Central Universities of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115129","Multivariate signal analysis;multivariate empirical mode decomposition;mode mixing;intrinsic mode functions;brain-computer interface","Electroencephalography;Time-frequency analysis;Informatics;Brain-computer interfaces;Brain;Empirical mode decomposition","Adult;Algorithms;Brain;Brain-Computer Interfaces;Electroencephalography;Female;Humans;Imagination;Multivariate Analysis;Signal Processing, Computer-Assisted","17","","54","IEEE","20 Nov 2017","Sept. 2018","","IEEE","IEEE Journals"
"Filter Bank Regularized Common Spatial Pattern Ensemble for Small Sample Motor Imagery Classification","S. -H. Park; D. Lee; S. -G. Lee","Department of Media Technology, Catholic University of Korea, Bucheon, South Korea; Department of Media Technology, Catholic University of Korea, Bucheon, South Korea; Department of Media Technology, Catholic University of Korea, Bucheon, South Korea",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"9 Feb 2018","2018","26","2","498","505","For the last few years, many feature extraction methods have been proposed based on biological signals. Among these, the brain signals have the advantage that they can be obtained, even by people with peripheral nervous system damage. Motor imagery electroencephalograms (EEG) are inexpensive to measure, offer a high temporal resolution, and are intuitive. Therefore, these have received a significant amount of attention in various fields, including signal processing, cognitive science, and medicine. The common spatial pattern (CSP) algorithm is a useful method for feature extraction from motor imagery EEG. However, performance degradation occurs in a small-sample setting (SSS), because the CSP depends on sample-based covariance. Since the active frequency range is different for each subject, it is also inconvenient to set the frequency range to be different every time. In this paper, we propose the feature extraction method based on a filter bank to solve these problems. The proposed method consists of five steps. First, motor imagery EEG is divided by a using filter bank. Second, the regularized CSP (R-CSP) is applied to the divided EEG. Third, we select the features according to mutual information based on the individual feature algorithm. Fourth, parameter sets are selected for the ensemble. Finally, we classify using ensemble based on features. The brain-computer interface competition III data set IVa is used to evaluate the performance of the proposed method. The proposed method improves the mean classification accuracy by 12.34%, 11.57%, 9%, 4.95%, and 4.47% compared with CSP, SR-CSP, R-CSP, filter bank CSP (FBCSP), and SR-FBCSP. Compared with the filter bank R-CSP (β, γ), which is a parameter selection version of the proposed method, the classification accuracy is improved by 3.49%. In particular, the proposed method shows a large improvement in performance in the SSS.","1558-0210","","10.1109/TNSRE.2017.2757519","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8052556","Brain-computer interface (BCI);regularized common spatial pattern (R-CSP);filter bank;ensemble;small sample;motor imagery","Electroencephalography;Covariance matrices;Feature extraction;Mutual information;Estimation;Signal processing algorithms;Time-frequency analysis","Algorithms;Brain-Computer Interfaces;Electroencephalography;Humans;Imagination;Movement;Signal Processing, Computer-Assisted;Support Vector Machine","150","","39","IEEE","28 Sep 2017","Feb. 2018","","IEEE","IEEE Journals"
"A Multi-Class Tactile Brain–Computer Interface Based on Stimulus-Induced Oscillatory Dynamics","L. Yao; M. L. Chen; X. Sheng; N. Mrachacz-Kersting; X. Zhu; D. Farina; N. Jiang","Department of Systems Design Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Systems Design Engineering, University of Waterloo, Waterloo, ON, Canada; State Key Laboratory of Mechanical System and Vibration, Shanghai Jiao Tong University, Shanghai, China.; Center for Sensory-Motor Interaction, Faculty of Medicine, Aalborg University, DK-, Denmark; State Key Laboratory of Mechanical System and Vibration, Shanghai Jiao Tong University, Shanghai, China.; Department of Bioengineering, Imperial College London, London, U.K.; Department of Systems Design Engineering, University of Waterloo, Waterloo, ON, Canada",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"8 Jan 2018","2018","26","1","3","10","We proposed a multi-class tactile brain-computer interface that utilizes stimulus-induced oscillatory dynamics. It was hypothesized that somatosensory attention can modulate tactile-induced oscillation changes, which can decode different sensation attention tasks. Subjects performed four tactile attention tasks, prompted by cues presented in random order and while both wrists were simultaneously stimulated: 1) selective sensation on left hand (SS-L); 2) selective sensation on right hand (SS-R); 3) bilateral selective sensation; and 4) selective sensation suppressed or idle state (SS-S). The classification accuracy between SS-L and SS-R (79.9 ± 8.7%) was comparable with that of a previous tactile BCI system based on selective sensation. Moreover, the accuracy could be improved to an average of 90.3 ± 4.9% by optimal class-pair and frequency-band selection. Three-class discrimination had an accuracy of 75.2 ± 8.3%, with the best discrimination reached for the classes SS-L, SS-R, and SS-S. Finally, four classes were classified with an accuracy of 59.4 ± 7.3%. These results show that the proposed system is a promising new paradigm for multi-class BCI.","1558-0210","","10.1109/TNSRE.2017.2731261","University Starter Grant of the University of Waterloo(grant numbers:203859); National Natural Science Foundation of China(grant numbers:51620105002,51375296,51421092); Research Project of State Key Laboratory of Mechanical System and Vibration(grant numbers:MSV201607); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7990164","Tactile BCI;selective sensation;stimulus-induced oscillatory dynamics;somatosensory attention","Electroencephalography;Wrist;Vibrations;Time-frequency analysis;Visualization;Brain-computer interfaces;Indexes","Algorithms;Attention;Brain-Computer Interfaces;Discrimination (Psychology);Electroencephalography;Equipment Design;Evoked Potentials, Somatosensory;Female;Hand;Healthy Volunteers;Humans;Male;Reproducibility of Results;Touch;Young Adult","21","","51","IEEE","24 Jul 2017","Jan. 2018","","IEEE","IEEE Journals"
"Commanding a Brain-Controlled Wheelchair Using Steady-State Somatosensory Evoked Potentials","K. -T. Kim; H. -I. Suk; S. -W. Lee","Department of Brain and Cognitive Engineering, Korea University, Anam-dong, Seongbuk-ku, Seoul, Korea; Department of Brain and Cognitive Engineering, Korea University, Anam-dong, Seongbuk-ku, Seoul, Korea; Department of Brain and Cognitive Engineering, Korea University, Anam-dong, Seongbuk-ku, Seoul, Korea",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"6 Mar 2018","2018","26","3","654","665","In this work, we propose a novel brain-controlled wheelchair, one of the major applications of brain-machine interfaces (BMIs), that allows an individual with mobility impairments to perform daily living activities independently. Specifically, we propose to use a steady-state somatosensory evoked potential (SSSEP) paradigm, which elicits brain responses to tactile stimulation of specific frequencies, for a user's intention to control a wheelchair. In our system, a user had three possible commands by concentrating on one of three vibration stimuli, which were attached to the left-hand, right-hand, and right-foot, to selectively control the wheelchair. The three stimuli were associated with three wheelchair commands: turn-left, turn-right, and move-forward. From a machine learning perspective, we also devise a novel feature representation by combining spatial and spectral characteristics of brain signals. In order to validate the effectiveness of the proposed SSSEP-based system, we considered two different tasks: 1) a simple obstacle-avoidance task within a limited time and; 2) a driving task along the predefined trajectory of about 40 m length, where there were a narrow pathway, a door, and obstacles. In both experiments, we recruited 12 subjects and compared the average time of motor imagery (MI) and SSSEP-based controls to complete the task. With the SSSEP-based control, all subjects successfully completed the task without making any collision while four subjects failed it with MI-based control. It is also noteworthy that in terms of the average time to complete the task, the SSSEP-based control outperformed the MI-based control. In the other more challenging task, all subjects successfully reached the target location.","1558-0210","","10.1109/TNSRE.2016.2597854","National Research Foundation of Korea (NRF) grant; Korea government(grant numbers:NRF-2015R1A2A1A05001867); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7530883","Brain–machine interfaces (BMIs);brain-controlled wheelchair;electroencephalography (EEG);steady-state somatosensory evoked potential (SSSEP);motor imagery (MI)","Wheelchairs;Control systems;Visualization;Vibrations;Electroencephalography;Training;Steady-state","Adult;Algorithms;Brain;Brain-Computer Interfaces;Electroencephalography;Event-Related Potentials, P300;Evoked Potentials, Somatosensory;Female;Foot;Hand;Healthy Volunteers;Humans;Imagination;Machine Learning;Male;Movement;Wheelchairs;Young Adult","145","","43","IEEE","3 Aug 2016","March 2018","","IEEE","IEEE Journals"
"A Novel Hybrid Brain-Computer Interface for Robot Arm manipulation using Visual Evoked Potential","A. Rakshit; S. Ghosh; A. Konar; M. Pal","Department of Electronics & Telecommunication Engineering; Indian Statistical Institute, Kolkata, India; Department of Electronics & Telecommunication Engineering; Indian Statistical Institute, Kolkata, India",2017 Ninth International Conference on Advances in Pattern Recognition (ICAPR),"30 Dec 2018","2017","","","1","6","This paper attempts to solve an major problem of rigorous subject training in BCI based robotics. A hybrid Brain computer interface has been established here to mentally guide a robot arm without any motor commands generated in mind. Spontaneous N200 response of human brain as a part of motion onset visual evoked potential (m VEP) is used here to detect the desired object in the environment and use of Steady state visual evoked potential (SSVEP) provides the guidance to a bedside robotic arm to reach that target object. Electroencephalographic response of ten such subjects has been used here to evaluate the efficacy of the proposed system. Recorded EEG response goes through a sequential operation of preprocessing, feature extraction and classification. For detecting N200 response of the brain, a novel EKF-Particle filter induced Neural Network classifier is also proposed which essentially outperforms the other existing classifier for N200 detection. Performance analysis of other classifiers has been given here for comparison.","","978-1-5386-2241-4","10.1109/ICAPR.2017.8593034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593034","EEG;Particle Filter;EKF;Elman NN;Robot;BCI","Visualization;Electroencephalography;Manipulators;Feature extraction;Brain modeling;Support vector machines","","2","","17","IEEE","30 Dec 2018","27-30 Dec. 2017","27-30 Dec. 2017","IEEE","IEEE Conferences"
