Autores,Titulo,Ano de Publicacao,Fonte,Status,EEG,BCI,MI,Classification,Model/pipeline,Temporal_filter,Anotation
Yamaguchi T.; Fujio M.; Inoue K.,Design method of morphological structuring function for pattern recognition of EEG signals during motor imagery and cognition,2011,Scopus,depende,passou,passou,depende,depende,depende,depende,"O artigo fala ""we propose a design method of structuring function that determines the filter characteristic of morphology. The morphological method is compared with discrete wavelet transform (DWT) method from the view point of filter characteristics"". Pode ser que tenha filtro, mas tem que verificar se é MI de classificação."
Xu B.; Lu W.; Song A.; Yang R.; Pan L.; Zeng H.; Xu G.,Online classification of single trial motor imagery electroencephalogram signals,2013,Scopus,nao_passou,passou,passou,passou,passou,depende,depende,Ta em chines
Higashi H.; Tanaka T.,Common spatio-time-frequency patterns for motor imagery-based brain machine interfaces,2013,Scopus,depende,passou,passou,depende,depende,depende,depende,"Sobre os filtros o artigo fala ""how to determine spatial weights (spatial patterns), bandpass filters (frequency patterns), and time windows (time patterns) by utilizing electroencephalogram (EEG) recordings"". Agora nãoestá claro se é problema de classificação de MI"
Zou L.; Wang X.; Shi G.; Ma Z.,EEG Feature Extraction and Pattern Classification Based on Motor Imagery in Brain Computer Interface,2012,Scopus,depende,passou,passou,passou,passou,passou,depende,"Parece copia de outro com o mesmo nome ""EEG Feature Extraction and Pattern Classification Based on Motor Imagery in Brain Computer Interface"". Assim como o outro fala do uso de DWT (discrete wavelet transform)."
Li D.; Zhang H.; Khan M.S.; Mi F.,A self-adaptive frequency selection common spatial pattern and least squares twin support vector machine for motor imagery electroencephalography recognition,2018,Scopus,passou,passou,passou,passou,passou,passou,passou,"O artigo fala "" frequency band selection common spatial pattern algorithm and a particle swarm optimization least squares twin support vector machine classifier for recognition of motor imagery patterns"" e além disso fala ""To improve the classification results, we investigated linear, polynomial, sigmoid, wavelet and gaussian kernel functions for the nonlinear least squares twin support vector machine classifier"", logo pode ser que tenha algo sobre kernels em filtros"
Ince N.F.; Tewfik A.H.; Arica S.,A space-time-frequency analysis approach for the classification motor imagery EGG recordings in a Brain Computer Interface Task,2006,Scopus,depende,passou,passou,passou,passou,passou,depende,"O artigo fala ""The algorithm implements an arbitrary time-frequency segmentation procedure by using a flexible local discriminant base algorithm for given multichannel brain activity recordings to extract subject specific ERD and ERS patterns"". Pode ser então que tenha um filtro temporal ai no meio."
Cabrera A.F.; Dremstrup K.,Auditory and spatial navigation imagery in Brain-Computer Interface using optimized wavelets,2008,Scopus,,passou,passou,nao_passou,depende,passou,depende,Não é MI
Liu Y.; Zhang H.; Chen M.; Zhang L.,A boosting-based spatial-spectral model for stroke patients' EEG analysis in rehabilitation training,2016,Scopus,depende,passou,passou,passou,passou,passou,depende,"O artigo fala ""propose an adaptive boosting algorithm to perform autonomous selection of key channels and frequency band. In the proposed method, the spatial-spectral configurations are divided into multiple preconditions, and a new heuristic supervisor of stochastic gradient boost strategy is utilized to train weak classifiers under these preconditions"". Toca no assundo de bandas de frequenca (espaço de trabalho dos filtros temporais), logo é bom verificar se tem filtro temporal novo ai."
Zhu Z.; Liu F.; Mu S.; Tao K.,Adaptive spiking convolutional network for decoding motor imagery patterns,2025,Scopus,depende,passou,passou,passou,depende,passou,depende,"Fala do ""Adaptive Firing Threshold Spiking Convolutional Network (AFTSC-Net)"". Parece que não tem filtro temporal, nem tenho 100% certeza se é problema de classificação, assim é bom verificar pra saber se corta ele."
Delisle-Rodriguez D.; Cardoso V.; Gurve D.; Loterio F.; Alejandra Romero-Laiseca M.; Krishnan S.; Bastos-Filho T.,System based on subject-specific bands to recognize pedaling motor imagery: Towards a BCI for lower-limb rehabilitation,2019,Scopus,passou,passou,passou,passou,passou,passou,passou,"O artigo fala ""After applying a spectrogram based on short-time Fourier transform (SSTFT), both sparseness constraints and total power are used on the time-frequency representation to automatically locate the subject-specific bands that pack the highest power during pedaling motor imagery. The output frequency bands are employed in the recognition system to automatically adjust the cut-off frequency of a low-pass filter (Butterworth, 2nd order)"". Pelo menos tem filtro temporal ""Butterworth"""
Yang L.; Wu J.,Research on Motor Imagery Signal Recognition Method Based on Wavelet Packet Transform and ConvLSTM,2024,Scopus,depende,passou,passou,passou,depende,passou,depende,"O artigo fala "" This article combines the characteristics of CNN and LSTM models, and combines wavelet packet transform to propose a ConvLSTM based imaginative signal recognition model. The model first uses wavelet packet transform to extract features of EEG signals, then uses convolution operation for spatial features extraction of EEG signals, and uses LSTM network for temporal features extraction of EEG signals"", logo parece ter filtro temporal WPT, mas o LSTM é usado para extrair caracteristicas temporais, assim pode ser que seja também. Verificar se é isso mesmo."
Qin L.; He B.,A wavelet-based time-frequency analysis approach for classification of motor imagery for brain-computer interface applications,2005,Scopus,passou,passou,passou,passou,passou,passou,passou,"Artigo fala ""Time-frequency distributions (TFDs) were constructed based on wavelet decomposition and event-related (de)synchronization patterns were extracted from symmetric electrode pairs"". Logo parece ter filtro temporal"
