Titulo,Autores,Ano de Publicacao,Fonte
MSFNet: A Multi-Scale Space-Time Frequency Fusion Network for Motor Imagery EEG Classification,C. Wang; Y. Wu; C. Wang; Y. Ren; J. Shen; T. Pang; C. S. Chan; W. Ren; Y. Yu,2024,IEEE
Optimal Fuzzy Logic Enabled EEG Motor Imagery Classification for Brain Computer Interface,E. Yang; K. Shankar; E. Perumal; C. Seo,2024,IEEE
Development of an Adaptive Artifact Subspace Reconstruction Based on Hebbian/Anti-Hebbian Learning Networks for Enhancing BCI Performance,B. -Y. Tsai; S. V. S. Diddi; L. -W. Ko; S. -J. Wang; C. -Y. Chang; T. -P. Jung,2024,IEEE
A WPSD-Based Feature Extraction Method of EEG Signal for Motor Imagination,J. Shi; Q. Wang; D. Liu; C. Kim; Y. Zhang; X. Liu,2023,IEEE
Design an Accurate BCI System by a Novel Method and the Minimum Number of Channels Based on Five Class Motor Imagery,M. P. Kavian; A. Fallah; S. Rashidi,2023,IEEE
Performance Evaluation of Xception Networks and Short-Time Fourier Transform Spectrograms for Motor Imagery Classification,C. M. Yilmaz; B. H. Yilmaz,2023,IEEE
Improving classification accuracy for motor imagery BCI using DWT based Features,A. F. Doudou; A. Reffad; K. Mebarkia,2023,IEEE
SAT-Net: SincNet-Based Attentive Temporal Convolutional Network for Motor Imagery Classification,J. -M. Kim; S. Bak; H. Nam; W. Choi; D. -H. Kim; T. -E. Kam,2023,IEEE
Optimizing EEG Signal Classification for Motor Imagery BCIs: FilterBank CSP with Riemannian Manifolds and Ensemble Learning Models,M. M. Esfahani; M. H. Najafi; H. Sadati,2023,IEEE
EEG Image Classification using Deep Metric Learning with Nearest Neighbor Technique,M. Ramkumar; C. G. Babu; R. S. Kumar; A. S; D. S. T K; P. G S,2023,IEEE
Spatio-Temporal Joint Filtering for Transfer Learning in Brain-Computer Interface of Motion Imaginery,S. Hou; A. Jiang; Y. Tang; M. Li; Y. Zhu,2023,IEEE
Research on Hybrid Online Brain-Computer Interface System Based on MI-mVEP,Z. Zhuan; Y. Bian; X. He; P. Yuan; L. Geng; J. Li; M. Sun,2023,IEEE
Common Spatial Pattern and Riemannian Manifold-Based Real-Time Multiclass Motor Imagery EEG Classification,K. -K. Shyu; S. -C. Huang; K. -J. Tung; L. -H. Lee; P. -L. Lee; Y. -H. Chen,2023,IEEE
A Region of Interest-Based Electrophysiological Source Imaging Technology and its Applications in Analysis of Motor Imagery EEG Signals,Y. Wang; X. Zheng; N. Gao,2023,IEEE
A Novel Approach to MI-EEG Classification via 3D Interpolation and 3DCNN,M. -A. Li; J. Zhang,2023,IEEE
STOW-Net: Spatio-Temporal Operation Based Deep Learning Network for Classifying Wavelet Transformed Motor Imagery EEG Signals,M. S. Rana; S. A. Fattah; M. Saquib,2023,IEEE
Features Extraction Technique Analysis of EEG Signal for Motor Imagery Classification,F. M. Yassin; N. M. Norwawi; N. A. Noh; A. Alias; S. Tamam,2023,IEEE
A Multi-Domain Convolutional Neural Network for EEG-Based Motor Imagery Decoding,H. Zhi; Z. Yu; T. Yu; Z. Gu; J. Yang,2023,IEEE
Non-Uniform Filter Banks-based Minimum Distance to Riemannian Mean Classification in Motor Imagery BCI,P. Tan; X. Su; L. Yu; Y. Shen,2023,IEEE
Motor Imagery BCI Classification Using Synchrosqueezing Transform,M. A. A. YOUSIF; M. OZTURK,2023,IEEE
Classification of EEG Signals Using a Common Spatial Pattern Based Motor-Imagery for a Lower-limb Rehabilitation Exoskeleton,C. -J. Lin; C. -H. Lin,2023,IEEE
Sparse Bayesian Learning for End-to-End EEG Decoding,W. Wang; F. Qi; D. P. Wipf; C. Cai; T. Yu; Y. Li; Y. Zhang; Z. Yu; W. Wu,2023,IEEE
EEGNet-MSD: A Sparse Convolutional Neural Network for Efficient EEG-Based Intent Decoding,R. Fu; Z. Wang; S. Wang; X. Xu; J. Chen; G. Wen,2023,IEEE
An Approach to EEG based BCI for Motor Imagery using Explainable Transfer Learning,Ž. Rohutná; R. Vargic,2023,IEEE
Motor Imagery Classification Enhancement using Generative Adversarial Networks for EEG Spectrum Image Generation,A. G. Habashi; A. M. Azab; S. Eldawlatly; G. M. Aly,2023,IEEE
Effects of Trial-Adjusted Neurofeedback Training on Motor-Imagery Based Brain-Computer Interface Performance,A. Connelly; P. Li; P. Rangpong; T. Wilaiprasitporn; T. Yagi,2023,IEEE
EEG based Motor Imagery BCI using Four Class Iterative Filtering & Four Class Filter Bank Common Spatial Pattern,S. Akuthota; K. Rajkumar; J. Ravichander,2023,IEEE
The Influence of Smoothing Filtering Methods on the Performance of an EEG-Based Brain–Computer Interface,S. I. Alzahrani; M. M. Alsaleh,2023,IEEE
Incorporating EEG and fNIRS Patterns to Evaluate Cortical Excitability and MI-BCI Performance During Motor Training,Z. Wang; L. Yang; Y. Zhou; L. Chen; B. Gu; S. Liu; M. Xu; F. He; D. Ming,2023,IEEE
Motor Imagery EEG Classification Using Fine-Tuned Deep Convolutional EfficientNetB0 Model,M. S. Ali; A. Hassan; A. Rahim; M. H. Ashraf; A. Rahim; S. Saghir,2023,IEEE
Multi-Task EEG Signal Classification Using Correlation-Based IMF Selection and Multi-Class CSP,N. Alizadeh; S. Afrakhteh; M. R. Mosavi,2023,IEEE
Enhancing Motor Imagery EEG Signal Classification with Simplified GoogLeNet,L. Wang; J. Wang; B. Wen; W. Mu; L. Liu; J. Han; L. Zhang; J. Jia; X. Kang,2023,IEEE
EEG-Channel-Temporal-Spectral-Attention Correlation for Motor Imagery EEG Classification,W. -Y. Hsu; Y. -W. Cheng,2023,IEEE
